Name,Image,Status,Municipality,first lit,automated,Tower height,focal height (m),Range (nm),Owned by,Protected,Coordinates
Ytterøyane,,Active,Flora,1881,2004,31,57.5,20.4,Kystverket,Yes,61.571272°N 4.682366°E
Ytterholmen,,Active,Herøy,1912,2001,8,47.4,19,Kystverket,No,66.023004°N 11.724834°E
Ytre Møkkalasset,,1986,Arendal,1888,1946,17.2,17.1,11.8,Kystverket,Yes,58.541035°N 9.004498°E
Vingleia,,Active,Frøya,1921,1985,15,16,13,Kystverket,No,63.917214°N 8.676773°E
Villa,,1890,Flatanger,1839,NA,14.7,39.2,18,Kystverket,Yes,64.612442°N 10.924216°E
Viberodden,,Active,Eigersund,1855,1977,9.1,22,14.4,Kystverket,No,58.420069°N 5.991576°E
Vardø,,Active,Vardø,1896,1991,20.5,77.2,23,Kystverket,Yes,70.398434°N 31.213652°E
Værøy,,Active,Værøy,1880,1984,13.8,14.5,12.5,Kystverket,No,67.651795°N 12.727346°E
Utvær,,Active,Solund,1900,2004,31,45,18.6,Kystverket,Yes,61.039002°N 4.518927°E
Utsira,,Active,Utsira,1844,2003,13.3,78.2,23,Kystverket,Yes,59.307453°N 4.874084°E
Ulvesund,,Active,Vågsøy,1870,1985,10,16,13,Kystverket,No,61.994434°N 5.201704°E
Ulla,,Active,Haram,1874,1975,10.5,21.5,14.2,Kystverket,Yes,62.694972°N 6.198419°E
Tyrhaug Lighthouse,,Active,Smøla,1833,,,,,,,
Tvistein,,Active,Larvik,1908,1987,6,17,13.2,Kystverket,No,58.938009°N 9.936790°E
Tungenes,,Active,Randaberg,1828,1984,12,17.5,13.8,Kystverket,Yes,59.036735°N 5.582841°E
Tranøy,,Active,Hamarøy,1864,1991,27.3,28,15.6,Kystverket,Yes,68.184841°N 15.602631°E
Træna,,Active,Træna,1877,1974,22.5,36.7,17,Kystverket,No,66.432128°N 11.973018°E
Torsvåg,,Active,Karlsøy,1916,2006,9.6,32.5,15.8,Kystverket,No,70.255213°N 19.543689°E
Torbjørnskjær,,Active,Hvaler,1872,1990,17.9,25.7,15,Kystverket,Yes,58.995975°N 10.78248°E
Terningen,,Active,Hitra,1833,1991,12,17.3,13.4,Kystverket,No,63.495724°N 9.045335°E
Tennholmen,,Active,Bodø,1901,2003,14.4,27.3,15.5,Kystverket,No,67.311827°N 13.537571°E
Svinøy,,Active,Herøy,1905,2004,10.8,46.2,18.5,Kystverket,No,62.328394°N 5.271794°E
Svenner,,Active,Larvik,1874,2003,18.7,40.3,17.8,Kystverket,Yes,58.969172°N 10.148191°E
Sula,,Active,Frøya,1909,1974,13,43.5,18,Kystverket,Yes,63.857321°N 8.487169°E
Struten,,Active,Fredrikstad,1907,1985,13.5,20.07,14.2,Kystverket,No,59.117869°N 10.740852°E
